sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
0.0,3487,3487,551,551,0.5,43,43
0.0,5124,5124,335,335,0.75,70,70
0.0,6807,6807,0,0,1,104,104
0.0,1486,1486,696,696,0.25,18,18
