sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
0.0,4253,4253,75,75,0.5,54,54
0.0,5915,5915,0,0,0.75,80,80
0.0,6807,6807,0,0,1,104,104
0.0,2263,2263,465,465,0.25,26,26
